"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"1","G1.T1.R1_L1",51.9836,1.2621,0.0036,"G1.T1.R1","L1","R1","Alternaria","West-7","Western"
"2","G1.T1.R1_L2",41.4595,2.9128,0.1075,"G1.T1.R1","L2","R1","Alternaria","West-7","Western"
"3","G1.T1.R2_L3",66.8049,0.3807,0.0044,"G1.T1.R2","L3","R2","Alternaria","West-7","Western"
"4","G1.T1.R5_L1",78.7714,0.0206,0,"G1.T1.R5","L1","R5","Alternaria","West-7","Western"
"5","G1.T1.R5_L2",55.1754,0.0699,5e-04,"G1.T1.R5","L2","R5","Alternaria","West-7","Western"
"6","G1.T2.R1_L1",20.3582,0.1201,0,"G1.T2.R1","L1","R1","Cladosporium","West-7","Western"
"7","G1.T2.R2_L3",69.293,0.3464,0.0011,"G1.T2.R2","L3","R2","Cladosporium","West-7","Western"
"8","G1.T2.R4_L1",56.7463,0.026,0,"G1.T2.R4","L1","R4","Cladosporium","West-7","Western"
"9","G1.T2.R4_L2",60.3291,0.1662,0,"G1.T2.R4","L2","R4","Cladosporium","West-7","Western"
"10","G1.T2.R5_L3",78.2092,4.7877,0.4786,"G1.T2.R5","L3","R5","Cladosporium","West-7","Western"
"11","G1.T3.R1_L2",74.6819,0.3922,1e-04,"G1.T3.R1","L2","R1","Fusarium","West-7","Western"
"12","G1.T3.R1_L3",91.8115,0.1102,0,"G1.T3.R1","L3","R1","Fusarium","West-7","Western"
"13","G1.T3.R2_L2",32.0486,0.6096,0.0061,"G1.T3.R2","L2","R2","Fusarium","West-7","Western"
"14","G1.T3.R4_L1",60.8203,2.8482,0.2363,"G1.T3.R4","L1","R4","Fusarium","West-7","Western"
"15","G1.T3.R4_L2",49.6507,2.6772,0.1562,"G1.T3.R4","L2","R4","Fusarium","West-7","Western"
"16","G1.T3.R5_L1",66.83,0.3083,8e-04,"G1.T3.R5","L1","R5","Fusarium","West-7","Western"
"17","G1.T3.R5_L2",75.6514,0.095,0,"G1.T3.R5","L2","R5","Fusarium","West-7","Western"
