"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU.154","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"OTU.104","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"OTU.189","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU.336","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Bannoa","s__ogasawarensis"
"OTU.59","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium",NA
"OTU.166","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA
"OTU.201","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Byssomerulius","s__corium"
"OTU.171","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Leptosporomyces",NA
"OTU.349","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Nemania",NA
"OTU.39","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__brasilianum"
"OTU.253","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Bondarzewiaceae","g__Heterobasidion","s__occidentale"
"OTU.280","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Trichopeziza","s__mollissima"
"OTU.157","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"OTU.261","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__imbrexigena"
"OTU.347","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA
"OTU.330","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Hormonema","s__macrosporum"
"OTU.326","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Pezoloma","s__ericae"
"OTU.55","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__sphaerospermum"
"OTU.80","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__ruberrimus"
"OTU.150","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae",NA,NA
"OTU.306","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Rhizoctonia","s__alpina"
"Melampsora","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Melampsoraceae","g__Melampsora","s__medusae"
"OTU.240","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Dacryobolus","s__sudans"
"OTU.297","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Dissoconium","s__proteae"
"OTU.84","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__modesta"
"OTU.155","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Amylocorticiales",NA,NA,NA
"OTU.121","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU.313","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Fomitopsis","s__cajanderi"
"OTU.246","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cystostereaceae","g__Crustomyces","s__subabruptus"
"OTU.273","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Aporpiaceae","g__Elmerina","s__caryae"
"OTU.242","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium",NA
"OTU.290","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Athelia",NA
"OTU.289","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.199","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__xenobiotica"
"OTU.288","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Acrodontium",NA
"OTU.187","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Acrodontium",NA
"OTU.178","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Emericellopsis",NA
"OTU.247","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU.98","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__adeliensis"
"OTU.130","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Ramalina","s__farinacea"
"OTU.117","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Ramularia","s__plurivora"
"OTU.278","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__ramotenellum"
"OTU.145","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__poagena"
"OTU.283","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulales_fam_Incertae_sedis","g__Scytinostromella","s__nannfeldtii"
"OTU.352","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA
"OTU.338","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Sistotrema",NA
"OTU.114","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomatales_fam_Incertae_sedis","g__Tilletiopsis","s__washingtonensis"
"OTU.49","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__aspera"
"OTU.248","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Sistotrema","s__brinkmannii"
"OTU.191","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta"
"OTU.132","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"Aureobasidium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Aureobasidiaceae",NA,NA
"OTU.103","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__wieringae"
"OTU.79","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"OTU.88","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU.255","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__macerans"
"OTU.140","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Burgoa",NA
"OTU.93","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Hyphodermella","s__corrugata"
"OTU.322","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Brachybasidiaceae","g__Meira","s__nashicola"
